DistID,DistName,totalDisb,totalPSA,difference,sign,geoname,GEOID
0601621201600,LEYDEN COMM H S DIST 212,"$4,107,359.88","$788,229.88","-$3,319,130.00",m,Leyden Community High School District 212,1722740
0501606300200,EAST MAINE SCHOOL DIST 63,"$5,970,024.29","$2,774,764.29","-$3,195,260.00",m,East Maine School District 63,1713140
1902209901600,COMMUNITY HIGH SCHOOL DIST 99,"$3,905,905.52","$863,998.04","-$3,041,907.48",m,Community High School District 99,1712570
3404907300400,HAWTHORN C C SCHOOL DIST 73,"$3,742,664.01","$856,218.19","-$2,886,445.82",m,Hawthorn Community Consolidated School District 73,1718570
4105700702600,EDWARDSVILLE C U SCHOOL DIST 7,"$9,733,348.10","$6,859,745.04","-$2,873,603.06",m,Edwardsville Community Unit School District 7,1713530
3404909502600,LAKE ZURICH C U SCH DIST 95,"$3,782,181.86","$985,502.19","-$2,796,679.67",m,Lake Zurich Community Unit School District 95,1721900
5609920501700,LOCKPORT TWP HS DIST 205,"$3,297,136.30","$617,933.81","-$2,679,202.49",m,Lockport Township High School District 205,1723350
1902204400200,LOMBARD SCHOOL DISTRICT 44,"$3,045,126.04","$511,985.12","-$2,533,140.92",m,Lombard School District 44,1723460
3404911200200,NORTH SHORE SD 112,"$3,135,616.13","$693,985.19","-$2,441,630.94",m,North Shore School District 112,1700119
0501606400400,PARK RIDGE C C SCHOOL DIST 64,"$3,036,007.40","$693,234.56","-$2,342,772.84",m,Park Ridge Consolidated Community School District 64,1730840
3404909600400,KILDEER COUNTRYSIDE C C S DIST 96,"$2,712,927.84","$504,867.91","-$2,208,059.93",m,Kildeer Countryside Community Consolidated School District 96,1721030
0501620201700,EVANSTON TWP H S DIST 202,"$2,697,285.26","$506,033.42","-$2,191,251.84",m,Evanston Township High School District 202,1714490
1902205800200,DOWNERS GROVE GRADE SCH DIST 58,"$2,913,674.41","$791,140.97","-$2,122,533.44",m,Downers Grove Grade School District 58,1712540
1902204500200,VILLA PARK SCHOOL DIST 45,"$5,309,245.90","$3,187,760.03","-$2,121,485.87",m,Villa Park School District 45,1740350
0501603900200,WILMETTE SCHOOL DIST 39,"$2,674,255.05","$593,093.83","-$2,081,161.22",m,Wilmette School District 39,1742600
0601620401700,LYONS TWP H S DIST 204,"$2,722,890.20","$670,891.25","-$2,051,998.95",m,Lyons Township High School District 204,1723880
1902204100200,GLEN ELLYN SCHOOL DISTRICT 41,"$2,586,832.46","$553,364.14","-$2,033,468.32",m,Glen Ellyn School District 41,1716800
0701614600400,TINLEY PARK COMM SCH DIST 146,"$2,316,309.86","$350,427.32","-$1,965,882.54",m,Community Consolidated School District 146,1739030
4807232302600,DUNLAP C U SCHOOL DIST 323,"$3,514,498.88","$1,624,951.19","-$1,889,547.69",m,Dunlap Community Unit School District 323,1712700
5609912200200,NEW LENOX SCHOOL DIST 122,"$5,189,564.66","$3,316,832.73","-$1,872,731.93",m,New Lenox School District 122,1728140
0501622501700,NORTHFIELD TWP HIGH SCH DIST 225,"$2,665,903.63","$802,924.41","-$1,862,979.22",m,Northfield Township High School District 225,1729010
1702001502600,CLINTON C U SCHOOL DIST 15,"$2,193,415.91","$405,915.91","-$1,787,500.00",m,Clinton Community Unit School District 15,1710440
0601620001300,OAK PARK & RIVER FOREST DIST 200,"$2,300,188.50","$525,925.84","-$1,774,262.66",m,Oak Park and River Forest District 200,1729280
0501620301700,NEW TRIER TWP H S DIST 203,"$2,454,065.99","$705,713.56","-$1,748,352.43",m,New Trier Township High School District 203,1728200
1902208601700,HINSDALE TWP H S DIST 86,"$2,495,648.83","$770,987.94","-$1,724,660.89",m,Hinsdale Township High School District 86,1719320
0501606800200,SKOKIE SCHOOL DIST 68,"$2,092,681.54","$373,511.54","-$1,719,170.00",m,Skokie School District 68,1736450
0701622001700,REAVIS TWP H S DIST 220,"$2,268,357.30","$572,187.30","-$1,696,170.00",m,Reavis Township High School District 220,1733270
3404912501300,ADLAI E STEVENSON DIST 125,"$2,319,489.90","$697,225.92","-$1,622,263.98",m,Adlai E. Stevenson High School District 125,1732580
1902210801600,LAKE PARK COMM H S DIST 108,"$2,086,792.79","$468,846.56","-$1,617,946.23",m,Lake Park Community High School District 108,1721840
1902218100400,HINSDALE C C SCHOOL DIST 181,"$2,274,294.91","$669,586.70","-$1,604,708.21",m,Hinsdale Community Consolidated School District 181,1719290
3404907000200,LIBERTYVILLE SCHOOL DIST 70,"$1,944,643.29","$424,695.52","-$1,519,947.77",m,Libertyville School District 70,1722800
3404907900200,FREMONT SCHOOL DIST 79,"$1,903,599.03","$383,806.51","-$1,519,792.52",m,Fremont School District 79,1715930
0601610200200,LA GRANGE SCHOOL DIST 102,"$3,573,271.89","$2,103,018.72","-$1,470,253.17",m,LaGrange School District 102,1721600
5609916100200,SUMMIT HILL SCHOOL DIST 161,"$3,223,337.68","$1,755,209.96","-$1,468,127.72",m,Summit Hill School District 161,1738220
0701611800400,PALOS COMM CONS SCHOOL DIST 118,"$1,745,614.75","$290,721.31","-$1,454,893.44",m,Palos Community Consolidated School District 118,1730600
3404911301700,TOWNSHIP HIGH SCHOOL DIST 113,"$2,027,865.76","$597,973.99","-$1,429,891.77",m,Township High School District 113,1719080
0501602300200,PROSPECT HEIGHTS SCHOOL DIST 23,"$1,757,035.24","$331,205.24","-$1,425,830.00",m,Prospect Heights School District 23,1732850
3404912001300,MUNDELEIN CONS HIGH SCH DIST 120,"$1,787,365.39","$362,558.72","-$1,424,806.67",m,Mundelein Consolidated High School District 120,1727570
4105700102600,ROXANA COMM UNIT SCHOOL DIST 1,"$2,002,864.35","$600,078.16","-$1,402,786.19",m,Roxana Community Unit School District 1,1735010
3404905600200,GURNEE SCHOOL DIST 56,"$2,528,915.24","$1,131,969.18","-$1,396,946.06",m,Gurnee School District 56,1717800
1902200400200,ADDISON SCHOOL DIST 4,"$9,682,480.95","$8,309,103.20","-$1,373,377.75",m,Addison School District 4,1703150
1902210001600,FENTON COMM H S DIST 100,"$1,617,690.74","$249,335.03","-$1,368,355.71",m,Fenton Community High School District 100,1715030
5609909200200,WILL COUNTY SCHOOL DISTRICT 92,"$1,613,788.71","$280,641.49","-$1,333,147.22",m,Will County School District 92,1723730
3404912801600,LIBERTYVILLE COMM H SCH DIST 128,"$1,885,006.05","$554,150.07","-$1,330,855.98",m,Libertyville Community High School District 128,1722830
3404910900200,DEERFIELD SCHOOL DIST 109,"$1,830,459.50","$520,342.34","-$1,310,117.16",m,Deerfield School District 109,1711980
1902208900400,GLEN ELLYN C C SCHOOL DIST 89,"$1,573,278.85","$339,622.16","-$1,233,656.69",m,Glen Ellyn Community Consolidated School District 89,1740500
0501605700200,MOUNT PROSPECT SCHOOL DIST 57,"$1,555,826.42","$325,526.50","-$1,230,299.92",m,Mount Prospect School District 57,1727210
0701614000200,KIRBY SCHOOL DIST 140,"$3,521,790.92","$2,308,670.20","-$1,213,120.72",m,Kirby School District 140,1721270
3404910200400,APTAKISIC-TRIPP C C S DIST 102,"$1,509,820.69","$314,119.35","-$1,195,701.34",m,Aptakisic-Tripp Community Consolidated School District,1703900
0501602600200,RIVER TRAILS SCHOOL DIST 26,"$1,421,266.42","$227,811.06","-$1,193,455.36",m,River Trails School District 26,1733870
2403200102600,COAL CITY C U SCHOOL DISTRICT 1,"$1,432,488.42","$334,788.38","-$1,097,700.04",m,Coal City Community Unit School District 1,1710530
0601610500200,LA GRANGE SCHOOL DIST 105 (SOUTH),"$1,309,389.52","$211,711.49","-$1,097,678.03",m,LaGrange School District 105,1721630
07016113A0200,LEMONT-BROMBEREK CSD 113A,"$1,468,388.81","$379,510.19","-$1,088,878.62",m,Lemont-Bromberek Combined School District 113A,1707290
3104530102600,CENTRAL COMM UNIT SCH DIST 301,"$3,408,057.08","$2,336,153.79","-$1,071,903.29",m,Central Community Unit School District 301,1707830
0601609250200,WESTCHESTER SCHOOL DIST 92-5,"$1,249,980.32","$204,496.69","-$1,045,483.63",m,Westchester School District 92-5,1741790
1902206000200,MAERCKER SCHOOL DISTRICT 60,"$1,243,649.46","$204,045.61","-$1,039,603.85",m,Maercker School District 60,1724000
1902200700200,WOOD DALE SCHOOL DISTRICT 7,"$1,510,042.90","$475,462.90","-$1,034,580.00",m,Wood Dale School District 7,1743020
0601609600200,RIVERSIDE SCHOOL DIST 96,"$1,292,214.23","$268,653.77","-$1,023,560.46",m,Riverside School District 96,1733990
1902220202600,LISLE C U SCH DIST 202,"$1,259,505.66","$250,897.40","-$1,008,608.26",m,Lisle Community Unit School District 202,1723200
0501607400200,LINCOLNWOOD SCHOOL DIST 74,"$1,175,588.46","$196,619.80","-$978,968.66",m,Lincolnwood School District 74,1723100
1902220102600,WESTMONT C U SCHOOL DIST 201,"$1,199,365.74","$231,760.97","-$967,604.77",m,Westmont Community Unit School District 201,1741980
0501607350200,SKOKIE SCHOOL DIST 73-5,"$1,125,038.18","$165,753.93","-$959,284.25",m,Skokie School District 73-5,1710380
56099255U2600,REED CUSTER C U SCH DIST 255U,"$1,200,261.04","$263,500.52","-$936,760.52",m,Reed Custer Community Unit School District 255U,1733380
3104510102200,BATAVIA UNIT SCHOOL DIST 101,"$5,134,630.99","$4,207,031.47","-$927,599.52",m,Batavia Unit School District 101,1705220
4707122602600,BYRON COMM UNIT SCHOOL DIST 226,"$1,164,950.42","$258,019.06","-$906,931.36",m,Byron Community Unit School District 226,1708010
4507913202600,RED BUD C U SCHOOL DIST 132,"$1,027,272.09","$162,150.52","-$865,121.57",m,Red Bud Community Unit School District 132,1733300
0601608300200,MANNHEIM SCHOOL DIST 83,"$5,766,993.54","$4,907,422.99","-$859,570.55",m,Mannheim School District 83,1724330
0601609100200,FOREST PARK SCHOOL DIST 91,"$1,316,711.34","$469,031.34","-$847,680.00",m,Forest Park School District 91,1715450
5609915900200,MOKENA SCHOOL DIST 159,"$1,112,881.84","$287,296.90","-$825,584.94",m,Mokena School District 159,1726370
3907402502600,MONTICELLO C U SCHOOL DIST 25,"$1,042,079.60","$232,595.72","-$809,483.88",m,Monticello Community Unit School District 25,1726550
0601620801700,RIVERSIDE BROOKFIELD TWP DIST 208,"$1,034,807.55","$235,511.53","-$799,296.02",m,Riverside Brookfield Township School District 208,1734020
0501603600200,WINNETKA SCHOOL DIST 36,"$1,078,450.83","$296,548.94","-$781,901.89",m,Winnetka School District 36,1742840
3404910300200,LINCOLNSHIRE-PRAIRIEVIEW S D 103,"$1,045,918.30","$270,847.20","-$775,071.10",m,Lincolnshire-Prairieview School District 103,1723090
0601608000200,NORRIDGE SCHOOL DIST 80,"$939,201.28","$167,081.46","-$772,119.82",m,Norridge School District 80,1728650
1201700202600,ROBINSON C U SCHOOL DIST 2,"$1,970,258.46","$1,206,642.98","-$763,615.48",m,Robinson Community Unit School District 2,1734230
56099088A0200,RICHLAND SCHOOL DIST 88A,"$904,683.86","$154,991.49","-$749,692.37",m,Richland School District 88A,1733450
0601609000200,RIVER FOREST SCHOOL DIST 90,"$964,039.50","$224,803.09","-$739,236.41",m,River Forest School District 90,1733810
0501606200400,DES PLAINES C C SCH DIST 62,"$6,780,337.63","$6,042,676.93","-$737,660.70",m,Des Plaines Community Consolidated School District 62,1712120
3404911400200,FOX LAKE GRADE SCHOOL DIST 114,"$1,075,249.28","$372,149.28","-$703,100.00",m,Fox Lake Grade School District 114,1715630
0601610100200,WESTERN SPRINGS SCHOOL DIST 101,"$960,835.21","$257,849.31","-$702,985.90",m,Western Springs School District 101,1741820
1601942902600,HINCKLEY BIG ROCK C U S D 429,"$886,366.80","$194,336.80","-$692,030.00",m,Hinckley-Big Rock Community Unit School District 429,1719260
5309008600200,EAST PEORIA SCHOOL DISTRICT 86,"$2,472,661.59","$1,787,169.47","-$685,492.12",m,East Peoria School District 86,1713240
4506700502600,WATERLOO COMM UNIT SCH DIST 5,"$4,406,317.92","$3,729,506.90","-$676,811.02",m,Waterloo Community Unit School District 5,1741070
0804312002200,GALENA UNIT SCHOOL DIST 120,"$798,857.98","$127,507.12","-$671,350.86",m,Galena Unit School District 120,1716050
3404906700500,LAKE FOREST SCHOOL DIST 67,"$980,660.73","$333,095.77","-$647,564.96",m,Lake Forest School District 67,1721750
0601623401600,RIDGEWOOD COMM H S DIST 234,"$765,514.40","$133,938.10","-$631,576.30",m,Ridgewood Community High School District 234,1733720
1902206100200,DARIEN SCHOOL DIST 61,"$1,657,590.46","$1,027,381.46","-$630,209.00",m,Darien School District 61,1721450
5108400502600,BALL CHATHAM C U SCHOOL DIST 5,"$8,134,225.56","$7,506,479.94","-$627,745.62",m,Ball-Chatham Community Unit School District 5,1704920
2803722802600,GENESEO COMM UNIT SCH DIST 228,"$6,260,203.78","$5,633,300.92","-$626,902.86",m,Geneseo Community Unit School District 228,1716350
1902218000400,COMMUNITY CONS SCH DIST 180,"$1,748,219.21","$1,137,919.21","-$610,300.00",m,Community Consolidated School District 180,1730510
56099157C0400,FRANKFORT C C SCH DIST 157C,"$2,261,801.85","$1,655,044.33","-$606,757.52",m,Frankfort Community Consolidated School District 157C,1715700
0701621001700,LEMONT TWP H S DIST 210,"$846,727.24","$241,477.14","-$605,250.10",m,Lemont Township High School District 210,1722500
0501602800200,NORTHBROOK SCHOOL DIST 28,"$867,607.89","$272,467.10","-$595,140.79",m,Northbrook School District 28,1728980
1902206600200,CENTER CASS SCHOOL DIST 66,"$769,621.46","$176,104.73","-$593,516.73",m,Center Cass School District 66,1708970
5008201902600,MASCOUTAH C U DISTRICT 19,"$13,735,782.25","$13,151,217.99","-$584,564.26",m,Mascoutah Community Unit School District 19,1724940
1902201300200,BLOOMINGDALE SCHOOL DISTRICT 13,"$766,932.32","$192,872.56","-$574,059.76",m,Bloomingdale School District 13,1706450
4406304600300,PRAIRIE GROVE C SCH DIST 46,"$735,626.70","$166,355.96","-$569,270.74",m,Prairie Grove Community School District 46,1732520
3404911501600,LAKE FOREST COMM H S DISTRICT 115,"$848,187.52","$281,053.40","-$567,134.12",m,Lake Forest Community High School District 115,1721780
4406301202600,JOHNSBURG C U SCHOOL DIST 12,"$2,633,156.85","$2,066,239.24","-$566,917.61",m,Johnsburg Community Unit School District 12,1720490
1902202500200,BENJAMIN SCHOOL DISTRICT 25,"$664,413.05","$122,036.15","-$542,376.90",m,Benjamin School District 25,1705880
0501607000200,MORTON GROVE SCHOOL DIST 70,"$673,912.51","$140,448.44","-$533,464.07",m,Morton Grove School District 70,1726850
0800830802600,EASTLAND COMM UNIT SCH DIST 308,"$634,654.54","$108,073.76","-$526,580.78",m,Eastland Community Unit School District 308,1700007
0501602700200,NORTHBROOK ELEM SCHOOL DIST 27,"$707,373.97","$188,798.38","-$518,575.59",m,Northbrook Elementary School District 27,1717850
1902201100200,MEDINAH SCHOOL DISTRICT 11,"$625,577.07","$107,758.46","-$517,818.61",m,Medinah School District 11,1725500
0501603500200,GLENCOE SCHOOL DIST 35,"$734,495.60","$218,583.44","-$515,912.16",m,Glencoe School District 35,1716860
1902201200200,ROSELLE SCHOOL DISTRICT 12,"$622,949.95","$117,306.88","-$505,643.07",m,Roselle School District 12,1734710
0601609300200,HILLSIDE SCHOOL DIST 93,"$593,998.36","$88,607.08","-$505,391.28",m,Hillside School District 93,1719230
0501603100200,WEST NORTHFIELD SCHOOL DIST 31,"$642,324.98","$139,077.10","-$503,247.88",m,West Northfield School District 31,1741700
0601608600200,UNION RIDGE SCHOOL DIST 86,"$693,802.92","$196,452.92","-$497,350.00",m,Union Ridge School District 86,1739780
0701612800200,PALOS HEIGHTS SCHOOL DIST 128,"$613,122.82","$121,128.97","-$491,993.85",m,Palos Heights School District 128,1730570
5609901700200,CHANNAHON SCHOOL DISTRICT 17,"$725,923.86","$236,755.34","-$489,168.52",m,Channahon School District 17,1709540
5008210400200,CENTRAL SCHOOL DIST 104,"$643,068.80","$159,473.12","-$483,595.68",m,Central School District 104,1709170
0501607100200,NILES ELEM SCHOOL DIST 71,"$539,400.81","$82,009.26","-$457,391.55",m,Niles Elementary School District 71,1728500
0601610700200,PLEASANTDALE SCHOOL DIST 107,"$578,815.53","$121,639.77","-$457,175.76",m,Pleasantdale School District 107,1732040
5008210500200,PONTIAC-W HOLLIDAY SCH DIST 105,"$565,901.60","$114,030.69","-$451,870.91",m,Pontiac-William Holliday School District 105,1732190
4406302600400,CARY C C SCHOOL DIST 26,"$2,881,696.30","$2,430,869.53","-$450,826.77",m,Cary Community Consolidated School District 26,1708730
5509800102600,ERIE COMM UNIT SCH DIST 1,"$546,111.17","$107,652.65","-$438,458.52",m,Erie Community Unit School District 1,1714350
1902206300200,CASS SCHOOL DIST 63,"$560,960.87","$122,907.73","-$438,053.14",m,Cass School District 63,1708790
0501603000200,NORTHBROOK/GLENVIEW SCH DIST 30,"$619,680.74","$186,314.07","-$433,366.67",m,Northbrook/Glenview School District 30,1724420
0804321002600,RIVER RIDGE C U SCH DIST 210,"$507,374.28","$80,678.61","-$426,695.67",m,River Ridge Community Unit School District 210,1700001
0601610600200,LAGRANGE HIGHLANDS SCH DIST 106,"$565,334.43","$139,737.83","-$425,596.60",m,LaGrange Highlands School District 106,1719110
3404906500200,LAKE BLUFF ELEM SCHOOL DIST 65,"$570,768.30","$149,901.68","-$420,866.62",m,Lake Bluff Elementary School District 65,1721720
0501607200200,SKOKIE FAIRVIEW SCHOOL DIST 72,"$527,246.21","$107,581.15","-$419,665.06",m,Skokie-Fairview School District 72,1714820
0701623001300,CONS HIGH SCHOOL DISTRICT 230,"$7,263,017.91","$6,851,202.21","-$411,815.70",m,Consolidated High School District 230,1708400
0701611000200,CENTRAL STICKNEY SCH DIST 110,"$705,678.08","$295,248.08","-$410,430.00",m,Central Stickney School District 110,1737860
1204000102600,JASPER COUNTY COMM UNIT DIST 1,"$1,837,958.00","$1,431,412.78","-$406,545.22",m,Jasper County Community Unit School District 1,1720380
1902206200200,GOWER SCHOOL DIST 62,"$544,316.32","$139,397.19","-$404,919.13",m,Gower School District 62,1717160
1902204800200,SALT CREEK SCHOOL DIST 48,"$479,012.49","$80,099.38","-$398,913.11",m,Salt Creek School District 48,1735220
56099207U2600,PEOTONE C U SCH DIST 207U,"$1,929,514.47","$1,535,524.76","-$393,989.71",m,Peotone Community Unit School District 207U,1731290
1902201000200,ITASCA SCHOOL DIST 10,"$539,644.54","$150,680.43","-$388,964.11",m,Itasca School District 10,1720220
1706400302600,TRI VALLEY C U SCHOOL DISTRICT 3,"$2,232,563.15","$1,866,288.34","-$366,274.81",m,Tri-Valley Community Unit School District 3,1713920
3505000202600,COMMUNITY UNIT SCH DIST 2,"$1,031,885.28","$672,659.57","-$359,225.71",m,Community Unit School District 2,1715880
0501603700200,AVOCA SCHOOL DIST 37,"$463,139.27","$112,412.17","-$350,727.10",m,Avoca School District 37,1704800
3505017000400,SENECA COMM CONS SCH DIST 170,"$428,307.02","$78,806.69","-$349,500.33",m,Seneca Community Consolidated School District 170,1735820
51084003A2600,ROCHESTER COMM UNIT SCH DIST 3A,"$6,995,153.52","$6,652,893.89","-$342,259.63",m,Rochester Community Unit School District 3A,1734320
3905500202600,MAROA FORSYTH C U SCH DIST 2,"$1,584,167.48","$1,246,437.98","-$337,729.50",m,Maroa-Forsyth Community Unit School District 2,1724750
56099070C0400,LARAWAY C C SCHOOL DIST 70C,"$801,785.75","$471,235.75","-$330,550.00",m,Laraway Community Consolidated School District 70C,1722050
0601609400200,KOMAREK SCHOOL DIST 94,"$408,381.64","$82,560.40","-$325,821.24",m,Komarek School District 94,1721420
0501607300200,EAST PRAIRIE SCHOOL DIST 73,"$580,410.93","$257,055.87","-$323,355.06",m,East Prairie School District 73,1713260
0501606700200,GOLF ELEM SCHOOL DIST 67,"$417,300.34","$97,160.96","-$320,139.38",m,Golf Elementary School District 67,1726820
3404906800200,OAK GROVE SCHOOL DIST 68,"$464,010.43","$147,638.48","-$316,371.95",m,Oak Grove School District 68,1729100
3505019500400,WALLACE C C SCHOOL DIST 195,"$419,062.02","$108,672.02","-$310,390.00",m,Wallace Community Consolidated School District 195,1740530
4105700202600,TRIAD COMM UNIT SCHOOL DIST 2,"$8,740,964.05","$8,438,648.71","-$302,315.34",m,Triad Community Unit School District 2,1737350
0601607900200,PENNOYER SCHOOL DIST 79,"$362,016.99","$63,179.74","-$298,837.25",m,Pennoyer School District 79,1731200
3104530202600,KANELAND C U SCHOOL DIST 302,"$5,341,685.51","$5,043,120.42","-$298,565.09",m,Kaneland Community Unit School District 302,1724480
5008209000400,O FALLON C C SCHOOL DIST 90,"$7,065,794.82","$6,768,315.68","-$297,479.14",m,O'Fallon Community Consolidated School District 90,1729760
4307853502600,PUTNAM CO C U SCHOOL DIST 535,"$1,056,757.65","$768,497.70","-$288,259.95",m,Putnam County Community Unit School District 535,1732960
0501602900200,SUNSET RIDGE SCHOOL DIST 29,"$367,077.56","$83,069.81","-$284,007.75",m,Sunset Ridge School District 29,1738400
1902209401600,COMMUNITY HIGH SCH DISTRICT 94,"$2,509,751.04","$2,242,283.53","-$267,467.51",m,Community High School District 94,1740440
5609908400200,ROCKDALE SCHOOL DISTRICT 84,"$493,368.46","$226,198.46","-$267,170.00",m,Rockdale School District 84,1734470
0601608100200,SCHILLER PARK SCHOOL DIST 81,"$2,787,897.84","$2,551,605.22","-$236,292.62",m,Schiller Park School District 81,1735640
4506700402600,COLUMBIA COMM UNIT SCH DIST 4,"$2,942,911.14","$2,714,925.82","-$227,985.32",m,Columbia Community Unit School District 4,1710740
5008220301700,O FALLON TWP HIGH SCH DIST 203,"$5,535,021.32","$5,308,712.39","-$226,308.93",m,O'Fallon Township High School District 203,1729790
5309030801600,WASHINGTON COMM H S DIST 308,"$2,394,710.38","$2,170,137.63","-$224,572.75",m,Washington Community High School District 308,1740980
0501603800200,KENILWORTH SCHOOL DIST 38,"$306,468.89","$91,212.22","-$215,256.67",m,Kenilworth School District 38,1720970
1902203400200,WINFIELD SCHOOL DISTRICT 34,"$244,609.92","$49,593.72","-$195,016.20",m,Winfield School District 34,1742720
3805402302600,MT PULASKI COMM UNIT DIST 23,"$638,902.93","$445,327.33","-$193,575.60",m,Mount Pulaski Community Unit District 23,1727290
3304821002600,WILLIAMSFIELD C U S DIST 210,"$235,935.29","$45,555.71","-$190,379.58",m,Williamsfield Community Unit School District 210,1742450
0410132202600,DURAND C U SCH DIST 322,"$1,053,335.42","$873,038.19","-$180,297.23",m,Durand Community Unit School District 322,1712810
2603432502600,NAUVOO-COLUSA C U S DIST 325,"$389,524.46","$213,367.05","-$176,157.41",m,Nauvoo-Colusa Community Unit School District 325,1727780
1902205300200,BUTLER SCHOOL DISTRICT 53,"$246,480.65","$71,471.61","-$175,009.04",m,Butler School District 53,1707980
3505016001700,SENECA TWP H S DIST 160,"$250,961.87","$78,792.37","-$172,169.50",m,Seneca Township High School District 160,1735850
0601607800200,ROSEMONT ELEM SCHOOL DIST 78,"$214,511.28","$43,185.28","-$171,326.00",m,Rosemont Elementary School District 78,1734770
3404903300200,EMMONS SCHOOL DISTRICT 33,"$223,130.40","$53,563.45","-$169,566.95",m,Emmons School District 33,1714250
5008216000400,MILLSTADT C C  SCH DIST 160,"$1,230,249.07","$1,067,095.32","-$163,153.75",m,Millstadt Consolidated Community School District 160,1726190
0804321102600,SCALES MOUND C U SCH DISTRICT 211,"$200,622.26","$38,050.75","-$162,571.51",m,Scales Mound Community Unit School District 211,1735610
3905500102600,ARGENTA-OREANA COMM UNIT SCH D 1,"$2,189,700.11","$2,031,088.08","-$158,612.03",m,Argenta-Oreana Community Unit School District 1,1703990
2603430701600,ILLINI WEST H S DIST 307,"$1,465,663.47","$1,310,386.64","-$155,276.83",m,Illini West High School District 307,1701384
5008211300200,WOLF BRANCH SCH DIST 113,"$1,146,593.35","$991,443.57","-$155,149.78",m,Wolf Branch School District 113,1742960
2404706600400,NEWARK COMM CONS SCH DIST 66,"$193,150.75","$39,275.27","-$153,875.48",m,Newark Community Consolidated School District 66,1728270
0901019700400,PRAIRIEVIEW-OGDEN CCSD 197,"$236,303.11","$84,541.55","-$151,761.56",m,Prairieview-Ogden Community Consolidated School District 197,1700330
1706400702600,LEXINGTON C U SCH DIST 7,"$962,280.26","$810,677.03","-$151,603.23",m,Lexington Community Unit School District 7,1722710
5309005100200,CENTRAL SCHOOL DISTRICT 51,"$2,290,509.65","$2,140,708.21","-$149,801.44",m,Central School District 51,1709150
