"Summary level","Program label","Program","Sub-program","Name","Code","Subsidized units available","% Occupied","# Reported","% Reported","Average months since report","% moved in past year","Number of people per unit","Number of people: total","Average Family Expenditure per month ($$)","Average HUD Expenditure per month ($$)","Household income per year","Household income per year per person","% $1 - $4,999","% $5,000 - $9,999","% $10,000 - $14,999","% $15,000 - $19,999","% $20,000 or more","% Households where wages are major source of income","% Households where welfare is major source of income","% Households with other major sources of income","% of local median (Household income)","% very low income","% extremely low income","% 2+ adults with children","% 1 adult with children","% female head","% female head with children","% with disability, among Head, Spouse, Co-head, aged 61 years or less","% with disability, among Head, Spouse, Co-head, aged 62 years or older","% with disability, among all persons in households","% 24 years or less (Head or spouse)","% 25 to 49 years (Head or spouse)","% 51 to 60 (Head or spouse)","% 62 or more (Head or spouse)","% 85 or more (Head or spouse)","% Minority","%Black Non-Hispanic","%Native American Non-Hispanic","%Asian or Pacific Islander Non-Hispanic","%White Non-Hispanic"," %Black Hispanic","%White Hispanic","%Other Hispanic","% Hispanic","% Multiple Race","Average months on waiting list","Average months since moved in","% with utility allowance","Average utility allowance $$","% 0 - 1 bedrooms:","% 2 bedrooms","% 3+ bedrooms","% Overhoused","% in poverty (Census tract)","% minority (Census tract)","% single family owners (Census tract)","Congressional District","CBSA","PLACE","Latitude","Longitude","State","PHA Total Units","HA category"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Adams County 001002",="17001001002",5,-4,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,="NA",="39500",="62367",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Adams County 001100",="17001001100",332,95,282,100,7,13,1.6,453,368,379,14847,9243,4,26,29,21,20,30,0,67,33,89,52,1,27,74,25,43,46,29,7,38,21,35,6,17,16,0,0,81,-1,0,1,1,2,7,76,94,72,60,32,8,5,10,7,69,="NA",="39500",="62367",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Adams County 010100",="17001010100",14,96,13,100,7,8,1.3,17,331,273,16005,12239,-1,31,15,31,23,8,-1,92,36,85,31,-1,15,92,8,67,30,29,-1,8,15,77,8,0,-1,-1,-1,100,-1,-1,-1,0,0,2,89,-1,-1,85,15,-1,-1,11,1,86,="NA",="39500",="48307",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Adams County 010200",="17001010200",84,96,81,100,6,21,1.6,128,305,285,16495,10438,9,21,25,14,32,42,-1,58,37,70,48,1,16,65,14,25,2,11,11,17,21,51,6,1,-1,-1,-1,99,-1,1,-1,1,0,2,64,10,85,74,14,12,6,12,2,86,="NA",="39500",="10877",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Adams County 010300",="17001010300",22,96,21,100,7,19,1.3,28,326,273,19154,14365,10,19,14,10,48,52,-1,48,44,52,43,-1,10,62,10,-1,25,11,5,24,14,57,-1,0,-1,-1,-1,100,-1,-1,-1,0,0,3,37,-1,-1,90,10,-1,-1,7,2,85,="NA",="39500",="58265",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Adams County 010400",="17001010400",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,="NA",="NA",="NA",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Adams County 010500",="17001010500",14,71,14,100,7,29,1.3,18,242,687,9734,7571,8,17,50,25,-1,21,7,57,23,100,79,-1,29,93,29,22,60,28,7,36,21,36,-1,71,71,-1,-1,29,-1,-1,-1,0,0,9,51,100,88,29,71,-1,43,2,4,78,="NA",="39500",="62367",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Adams County 010600",="17001010600",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,="NA",="NA",="NA",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Adams County 999999",="17001999999",16,94,15,100,5,27,1.3,19,285,293,14434,11396,13,20,20,20,27,20,-1,80,33,73,40,-1,-1,67,-1,57,25,37,-1,7,40,53,13,7,7,-1,-1,93,-1,-1,-1,0,0,1,48,7,85,87,13,-1,13,8,2,85,="NA",="39500",="XXXXX",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Alexander County 957600",="17003957600",5,-4,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,="NA",="16020",="21605",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Alexander County 957700",="17003957700",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,="NA",="NA",="NA",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Alexander County 957800",="17003957800",203,71,103,71,7,1,2.4,244,190,579,8360,3529,47,25,12,8,9,29,10,61,18,93,82,-1,54,83,53,13,50,7,18,57,17,8,1,93,93,-1,-1,7,-1,-1,-1,0,0,3,102,15,262,27,33,40,17,41,63,70,="NA",="16020",="10383",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Alexander County 957900",="17003957900",276,79,128,59,8,21,1.8,236,216,571,10239,5553,33,27,19,5,16,27,6,63,24,91,70,1,29,66,27,31,55,21,5,45,34,16,1,86,86,-1,-1,14,-1,-1,-1,0,0,5,85,16,259,57,16,27,16,74,77,57,="NA",="16020",="10383",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Alexander County 999999",="17003999999",61,83,20,40,11,-1,3.1,61,153,575,7097,2327,56,17,11,6,11,25,10,55,15,90,80,-1,85,90,80,5,-1,3,10,75,10,5,-1,55,55,-1,-1,45,-1,-1,-1,0,0,-1,72,10,264,-1,-1,100,25,26,23,61,="NA",="16020",="XXXXX",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Bond County 951200",="17005951200",2,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,="NA",="41180",="51284",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Bond County 951300",="17005951300",144,90,131,100,7,21,1.4,183,232,409,10822,7747,8,43,29,9,10,13,2,75,23,95,78,2,11,66,11,56,39,36,4,30,25,41,5,15,15,-1,-1,85,-1,-1,-1,0,0,55,66,98,69,84,7,9,2,20,23,71,="NA",="41180",="31589",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Bond County 951400",="17005951400",12,90,11,99,5,9,1.8,20,243,300,11182,6150,-1,55,36,-1,9,9,9,82,23,100,73,-1,27,64,27,67,50,40,-1,64,18,18,-1,0,-1,-1,-1,100,-1,-1,-1,0,0,-1,66,100,104,55,18,27,9,14,2,83,="NA",="41180",="70525",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Bond County 951500",="17005951500",37,90,33,99,5,9,1.9,62,220,300,11655,6204,7,39,25,14,14,18,3,64,24,88,76,6,18,70,15,47,28,26,-1,27,18,55,-1,6,6,-1,-1,94,-1,-1,-1,0,0,5,78,100,97,64,18,18,6,14,3,79,="NA",="41180",="39753",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Bond County 999999",="17005999999",22,60,13,100,6,92,2.5,32,259,530,11335,4605,15,31,31,15,8,38,-1,62,21,100,85,-1,77,100,77,42,100,22,8,54,31,8,-1,8,8,-1,-1,92,-1,-1,-1,0,0,2,10,100,144,-1,62,38,15,20,23,71,="NA",="41180",="XXXXX",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Boone County 010100",="17007010100",198,75,145,97,5,21,2.3,340,235,563,9383,4002,14,27,25,16,17,33,2,38,19,97,75,6,61,92,62,16,89,9,8,66,20,6,1,38,34,-1,-1,60,-1,3,1,4,0,39,71,99,96,13,74,12,15,18,38,67,="NA",="40420",="05092",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Boone County 010200",="17007010200",188,79,154,100,6,22,1.4,219,318,549,13665,9609,1,27,34,25,13,10,-1,89,31,93,53,-1,13,84,13,33,8,12,1,16,16,67,6,18,7,1,-1,82,-1,6,4,10,0,-1,58,100,52,84,8,8,3,16,35,74,="NA",="40420",="05092",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Boone County 010300",="17007010300",172,91,162,100,6,20,1.6,264,297,481,13304,8164,5,29,27,19,20,21,-1,73,30,89,56,4,25,74,25,31,13,14,6,27,11,57,10,23,14,-1,1,77,-1,7,1,8,0,33,65,100,67,65,26,9,1,22,35,61,="NA",="40420",="05092",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Boone County 010400",="17007010400",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,="NA",="NA",="NA",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Boone County 010500",="17007010500",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,="NA",="NA",="NA",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Boone County 010601",="17007010601",7,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,="NA",="40420",="11124",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Boone County 010602",="17007010602",21,64,13,96,4,15,3.1,40,535,573,19789,6431,-1,23,15,23,38,46,-1,54,36,85,46,-1,62,85,62,22,25,15,-1,62,8,31,-1,31,23,-1,8,69,-1,-1,-1,0,0,34,79,85,184,8,-1,92,31,9,18,89,="NA",="40420",="61145",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Boone County 999999",="17007999999",2,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,="NA",="40420",="XXXXX",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Brown County 970400",="17009970400",17,90,15,100,6,27,1.9,28,213,302,9499,5089,27,20,33,20,-1,27,-1,73,19,100,80,7,33,47,20,27,100,25,-1,60,13,27,-1,0,-1,-1,-1,100,-1,-1,-1,0,0,1,56,100,109,67,20,13,-1,6,2,83,="NA",="99999",="77720",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Brown County 970500",="17009970500",110,92,104,100,6,16,1.3,136,259,331,11975,9157,5,40,33,14,9,15,-1,82,26,92,73,1,14,53,14,74,67,55,4,40,33,23,6,1,1,-1,-1,99,-1,-1,-1,0,0,6,85,47,99,86,10,5,1,15,39,73,="NA",="99999",="51154",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Bureau County 964700",="17011964700",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,="NA",="NA",="NA",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Bureau County 964800",="17011964800",9,-4,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,="NA",="36860",="XXXXX",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Bureau County 964900",="17011964900",4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,="NA",="36860",="61899",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Bureau County 965000",="17011965000",2,-4,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,="NA",="36860",="XXXXX",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Bureau County 965100",="17011965100",45,100,45,100,4,18,2.4,110,314,334,15288,6254,5,30,19,26,21,36,-1,60,30,93,53,7,49,87,44,11,17,10,7,51,2,40,2,9,4,-1,-1,91,-1,4,-1,4,2,20,39,100,182,38,29,33,7,11,14,81,="NA",="36860",="18459",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Bureau County 965200",="17011965200",138,99,138,100,6,25,1.3,176,257,261,13067,10246,13,25,25,14,22,20,-1,78,29,87,59,1,8,62,8,51,48,42,7,28,30,35,3,8,4,1,-1,92,-1,2,1,4,0,2,64,5,225,96,1,2,-1,14,16,81,="NA",="36860",="72156",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Bureau County 965300",="17011965300",12,100,12,100,5,-1,2.1,25,401,423,13201,6336,-1,45,18,18,18,25,-1,67,26,92,58,-1,50,83,50,55,100,36,-1,75,17,8,-1,8,8,-1,-1,92,-1,-1,-1,0,0,-1,82,92,198,17,50,33,33,22,5,90,="NA",="36860",="61899",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Bureau County 965400",="17011965400",149,99,147,100,6,18,1.2,172,266,327,12987,11099,8,21,37,19,15,20,1,76,29,93,57,-1,7,62,7,63,31,44,2,29,29,39,7,3,1,-1,1,96,-1,1,-1,1,0,2,64,8,156,93,5,2,1,11,6,66,="NA",="36860",="61899",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Bureau County 965500",="17011965500",2,-4,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,="NA",="36860",="XXXXX",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Bureau County 965600",="17011965600",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,="NA",="NA",="NA",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Bureau County 999999",="17011999999",6,-4,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,="NA",="36860",="XXXXX",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Calhoun County 951200",="17013951200",39,98,36,95,6,28,2.7,97,215,408,10160,3771,23,40,26,6,6,33,-1,64,16,97,92,22,36,75,50,16,80,13,11,61,14,14,-1,0,-1,-1,-1,100,-1,-1,-1,0,0,2,50,100,134,-1,58,42,28,14,2,84,="NA",="41180",="XXXXX",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Calhoun County 951300",="17013951300",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,="NA",="NA",="NA",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Calhoun County 999999",="17013999999",4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,="NA",="41180",="XXXXX",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Carroll County 960100",="17015960100",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,="NA",="NA",="NA",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Carroll County 960200",="17015960200",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,="NA",="NA",="NA",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Carroll County 960300",="17015960300",90,98,88,100,7,11,1.6,143,320,175,16164,9947,5,27,23,20,25,20,2,77,37,81,41,5,18,67,22,45,28,23,6,25,17,52,11,11,6,-1,-1,89,-1,6,-1,6,0,6,67,100,29,73,11,16,3,23,10,75,="NA",="99999",="67821",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Carroll County 960400",="17015960400",8,-4,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,="NA",="99999",="50881",="NA",="NA",="IL",="NA",="NA"
7,="Summary of All HUD Programs",1,="NA",="IL Illinois Carroll County 960500",="17015960500",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,="NA",="NA",="NA",="NA",="NA",="IL",="NA",="NA"
